Date,PX_LAST
2004/1/5,1425.73
2004/1/6,1434.02
2004/1/7,1436.16
2004/1/8,1436.92
2004/1/9,1449.3
2004/1/12,1449.34
2004/1/13,1453.09
2004/1/14,1456.82
2004/1/15,1458.95
2004/1/16,1456.72
2004/1/20,1453.87
2004/1/21,1455.56
2004/1/22,1461.27
2004/1/23,1453.77
2004/1/26,1448.7
2004/1/27,1452.96
2004/1/28,1444.19
2004/1/29,1444.46
2004/1/30,1447.76
2004/2/2,1445.94
2004/2/3,1449.5
2004/2/4,1448.61
2004/2/5,1444.73
2004/2/6,1450.97
2004/2/9,1453.93
2004/2/10,1450.9
2004/2/11,1458.05
2004/2/12,1455.3
2004/2/13,1459.04
2004/2/17,1459.64
2004/2/18,1459.92
2004/2/19,1460.17
2004/2/20,1456.19
2004/2/23,1460.02
2004/2/24,1461.2
2004/2/25,1462.32
2004/2/26,1460.17
2004/2/27,1465.79
2004/3/1,1465.48
2004/3/2,1461.39
2004/3/3,1460.47
2004/3/4,1463.03
2004/3/5,1478.01
2004/3/8,1482.29
2004/3/9,1485.56
2004/3/10,1484.6
2004/3/11,1483.48
2004/3/12,1481.93
2004/3/15,1481.08
2004/3/16,1487.85
2004/3/17,1488.66
2004/3/18,1484.13
2004/3/19,1481.52
2004/3/22,1486.43
2004/3/23,1487.19
2004/3/24,1487.52
2004/3/25,1485.77
2004/3/26,1478.39
2004/3/29,1475.48
2004/3/30,1474.79
2004/3/31,1479.63
2004/4/1,1475.24
2004/4/2,1457.49
2004/4/5,1452.22
2004/4/6,1455.97
2004/4/7,1456.76
2004/4/8,1454.78
2004/4/12,1454.15
2004/4/13,1445.96
2004/4/14,1442.72
2004/4/15,1440.38
2004/4/16,1444.14
2004/4/19,1442.62
2004/4/20,1439.58
2004/4/21,1438.29
2004/4/22,1443.04
2004/4/23,1437.24
2004/4/26,1439.5
2004/4/27,1441.72
2004/4/28,1436.22
2004/4/29,1430.8
2004/4/30,1433.11
2004/5/3,1433.44
2004/5/4,1430.33
2004/5/5,1427.94
2004/5/6,1422
2004/5/7,1409.5
2004/5/10,1408.2
2004/5/11,1409.49
2004/5/12,1407.6
2004/5/13,1403.49
2004/5/14,1407.85
2004/5/17,1414.84
2004/5/18,1413.23
2004/5/19,1409.58
2004/5/20,1414.86
2004/5/21,1412.04
2004/5/24,1414.57
2004/5/25,1415.56
2004/5/26,1420.08
2004/5/27,1426.9
2004/5/28,1422.74
2004/5/31,1422.74
2004/6/1,1419
2004/6/2,1416.53
2004/6/3,1417.69
2004/6/4,1413.07
2004/6/7,1415.13
2004/6/8,1415.28
2004/6/9,1412.31
2004/6/10,1413.61
2004/6/14,1408.14
2004/6/15,1421.55
2004/6/16,1418.24
2004/6/17,1421.88
2004/6/18,1420.76
2004/6/21,1422.76
2004/6/22,1422.04
2004/6/23,1422.96
2004/6/24,1426.99
2004/6/25,1427.04
2004/6/28,1420.3
2004/6/29,1423.44
2004/6/30,1429.02
2004/7/1,1432.56
2004/7/2,1440.36
2004/7/6,1439.68
2004/7/7,1440.02
